FPR_Rice,TPR_Rice,FPR_Wheat,TPR_Wheat,FPR_Maize,TPR_Maize,FPR_Potato,TPR_Potato
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
0.033,0,0.047,0,0.043,0,0.031,0
